price_date,parish,commodity,type,Category,supply,grade,Actual_Price
6/16/2012,Trelawny,carrot,Local,Vegetable,Average,Excellent,66
6/16/2012,Hanover,cucumber,Local,Vegetable,Fair,Good,88
6/16/2012,St James,tomatoes(plummy),Local,Vegetable,Average,Good,66
6/16/2012,Manchester,pumpkin,Local,Vegetable,Moderate,Excellent,55
6/16/2012,St Catherine,watermelon,Local,Fruit,Moderate,Good,66
6/16/2012,St Elizabeth,escallion,Local,Herbs and Spices,Abundant,Excellent,88
6/16/2012,Manchester,lettuce,Iceberg (Local),Vegetable,Fair,Excellent,154
6/16/2012,Portland,ginger,Local,Herbs and Spices,Scarce,Excellent,176
6/16/2012,St Mary,sorrel,Local,Fruit,Scarce,Excellent,220
6/16/2012,St Ann,sweet potato,Local,Root Crops,Moderate,Excellent,33
6/16/2012,St Mary,sweet pepper (red),Green House (Local),Vegetable,Moderate,Good,220
6/16/2012,St Andrew,sweet pepper (green),Local,Vegetable,Good,Excellent,132
6/16/2012,Hanover,ginger,Local,Herbs and Spices,Moderate,Excellent,176
6/16/2012,Manchester,sweet pepper (green),Local,Vegetable,Fair,Excellent,132
6/16/2012,St Elizabeth,ginger,Local,Herbs and Spices,Moderate,Excellent,264
6/16/2012,St James,cabbage (green),Local,Vegetable,Average,Excellent,33
6/16/2012,Manchester,sweet pepper (yellow),Green House (Local),Vegetable,Fair,Excellent,264
6/16/2012,Westmoreland,tomatoes(plummy),Local,Vegetable,Moderate,Excellent,88
6/16/2012,St Ann,irish potato,Local,Root Crops,Scarce,Excellent,66
6/16/2012,St Elizabeth,sweet pepper (yellow),Green House (Local),Vegetable,Good,Excellent,286
6/16/2012,Manchester,sweet pepper (red),Green House (Local),Vegetable,Fair,Excellent,264
6/16/2012,St Andrew,callaloo,Whole,Vegetable,Good,Excellent,110
6/16/2012,Hanover,cabbage (green),Local,Vegetable,Moderate,Excellent,66
6/16/2012,Hanover,callaloo,Whole,Vegetable,Moderate,Excellent,88
6/16/2012,Westmoreland,lettuce,Iceberg (Local),Vegetable,Scarce,Excellent,154
6/16/2012,St Andrew,tomatoes(salad),Local,Vegetable,Good,Excellent,132
6/16/2012,St Ann,tomatoes(plummy),Local,Vegetable,Moderate,Excellent,55
6/16/2012,St Mary,string bean,Local,Vegetable,Scarce,Good,88
6/16/2012,St Andrew,pineapple,Sugar Loaf,Fruit,Average,Excellent,132
6/16/2012,Portland,tomatoes(salad),Local,Vegetable,Scarce,Good,110
6/16/2012,St Andrew,yam,Yellow,Root Crops,Good,Excellent,88
6/16/2012,Westmoreland,irish potato,Local,Root Crops,Moderate,Excellent,88
6/16/2012,St Andrew,plantain,Green,Fruit,Good,Excellent,110
6/16/2012,St Mary,sweet potato,Local,Root Crops,Moderate,Good,62.33
